KRIPTOLAR,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Volume2,vol_fark,satis_fark
ADATRY-10,1633046400000,1874000000,2152000000,1740000000,1884000000,15183762080000000,1635724799999,301186301450400000,518430,7401426640000000,146958181976600000,0,28000600030000000,-12816837950000000,10000000
BZRXBUSD-10,1633046400000,26810000,42930000,25640000,40460000,11696279800000000,1635724799999,3828870586430000,177348,5956405100000000,1954091580790000,0,24226209373000000,-12529929573000000,13650000
ADAUSDC-10,1633046400000,211500000,237400000,182000000,196400000,11105774933000000,1635724799999,23894917856393600,174669,5134218804000000,11041527594880600,0,23565182496000000,-12459407563000000,-15100000
VIDTBTC-10,1633046400000,2047,2558,1483,1602,7318312900000000,1635724799999,136192458228,503869,3563508500000000,66700408770,0,19443894500000000,-12125581600000000,-445
FETUSDT-10,1633046400000,72240000,94740000,67060000,78070000,205211642600000000,1635724799999,157137167483490000,2207341,116314792200000000,89047292969530000,0,217018307383000000,-11806664783000000,5830000
FIOBTC-10,1633046400000,379,436,275,299,10994750600000000,1635724799999,36906498978,83594,5197708800000000,17566835636,0,22610744800000000,-11615994200000000,-80
AERGOBTC-10,1633046400000,603,831,451,518,7748302200000000,1635724799999,47044915640,137437,3678440300000000,22321532139,0,19298069600000000,-11549767400000000,-85
LTOBTC-10,1633046400000,569,605,414,474,8967876200000000,1635724799999,44061819384,100154,4425328800000000,21889208630,0,20457467700000000,-11489591500000000,-95
CFXBTC-10,1633046400000,698,784,493,514,11029555270000000,1635724799999,66270214718,127614,6039266200000000,36470033728,0,22343105220000000,-11313549950000000,-184
RENBTC-10,1633046400000,2145,2753,1500,1679,10580982600000000,1635724799999,212285957896,262866,5090021500000000,102488018373,0,21773550400000000,-11192567800000000,-466
EPSUSDT-10,1633046400000,47290000,67400000,46810000,50740000,109458652300000000,1635724799999,61093716574670000,1455726,53081257900000000,29663472003890000,0,120226491516200000,-10767839216200000,3450000
